id,snapshot_time,coin,bid_volume,ask_volume,book_imbalance,best_bid,best_ask,spread_avg,buy_aggressor_vol,sell_aggressor_vol,net_aggressor_flow,num_trades,total_volume,whale_buy_vol,whale_sell_vol,whale_net_flow,whale_trade_count,large_trade_count,book_updates
783,2026-02-17T03:15:00,HYPE,2936.97,4397.71,0.387332,30.833,30.836,0.001701,610.01,555.12,54.89,64,1165.13,387.4,31.03,356.37,20,0,107
784,2026-02-17T03:15:00,BTC,15.89,46.96,0.331438,68693.0,68696.0,1.093458,90.28,2.33,87.95,222,92.61,2.04,0.86,1.17,20,40,107
785,2026-02-17T03:16:00,HYPE,2409.54,3516.91,0.393153,30.799,30.8,0.001759,565.8,768.35,-202.55,77,1334.15,630.09,0.0,630.09,14,0,108
786,2026-02-17T03:16:00,BTC,14.71,86.8,0.211961,68639.0,68640.0,1.074074,7.88,5.95,1.93,123,13.83,6.62,0.0,6.62,25,7,108
787,2026-02-17T03:17:00,HYPE,2675.94,3496.7,0.447248,30.793,30.8,0.002321,529.75,605.18,-75.43,64,1134.93,663.24,17.62,645.62,23,0,109
788,2026-02-17T03:17:00,BTC,28.36,40.56,0.426833,68683.0,68684.0,1.091743,6.41,4.2,2.22,133,10.61,1.26,0.12,1.13,25,3,109
789,2026-02-17T03:18:00,HYPE,2726.51,2797.77,0.522718,30.788,30.789,0.002491,1089.46,4865.01,-3775.55,294,5954.47,1213.98,17.03,1196.95,38,0,110
790,2026-02-17T03:18:00,BTC,26.87,77.64,0.453026,68721.0,68722.0,1.018182,2.38,0.34,2.03,85,2.72,1.29,0.0,1.29,16,0,110
791,2026-02-17T03:19:00,HYPE,2806.42,3459.88,0.485913,30.788,30.789,0.0017,782.05,159.52,622.53,57,941.57,387.4,279.71,107.69,22,0,110
792,2026-02-17T03:19:00,BTC,17.98,94.43,0.291449,68705.0,68706.0,1.045455,2.24,8.47,-6.23,113,10.71,1.03,0.03,1.0,15,5,110
793,2026-02-17T03:20:00,HYPE,2286.49,3298.22,0.455358,30.762,30.763,0.00138,418.09,2462.61,-2044.52,196,2880.7,476.88,34.1,442.78,20,0,108
794,2026-02-17T03:20:00,BTC,20.52,122.68,0.210171,68642.0,68643.0,1.138889,1.17,18.23,-17.06,173,19.4,4.84,0.0,4.84,33,11,108
795,2026-02-17T03:21:00,HYPE,3179.28,3908.18,0.448674,30.845,30.846,0.002542,2879.01,1236.62,1642.39,100,4115.63,1355.13,407.1,948.03,34,0,107
796,2026-02-17T03:21:00,BTC,45.59,28.37,0.453477,68681.0,68682.0,1.037383,1.78,0.06,1.72,78,1.84,1.66,0.0,1.66,21,1,107
797,2026-02-17T03:22:00,HYPE,3310.78,3306.38,0.449521,30.878,30.879,0.002791,6271.76,544.11,5727.65,141,6815.87,3355.89,1927.16,1428.73,80,0,110
798,2026-02-17T03:22:00,BTC,31.17,44.63,0.393147,68707.0,68708.0,1.072727,43.54,5.28,38.25,225,48.82,37.03,1.59,35.44,106,22,110
799,2026-02-17T03:23:00,HYPE,4002.27,3159.04,0.440561,30.856,30.857,0.002193,1397.85,1078.92,318.93,98,2476.77,1355.89,406.3,949.59,35,0,109
800,2026-02-17T03:23:00,BTC,38.51,53.02,0.271892,68666.0,68667.0,1.082569,25.22,11.86,13.36,195,37.08,25.03,0.91,24.12,72,21,109
801,2026-02-17T03:24:00,HYPE,3951.96,3480.1,0.482414,30.826,30.832,0.002349,1540.94,152.49,1388.45,53,1693.43,1522.25,187.82,1334.43,40,0,109
802,2026-02-17T03:24:00,BTC,34.32,67.67,0.185913,68616.0,68617.0,1.06422,15.1,5.02,10.08,140,20.12,13.47,0.59,12.88,43,11,109
803,2026-02-17T03:25:00,HYPE,2670.13,3810.49,0.437731,30.816,30.817,0.001741,1228.76,354.06,874.7,74,1582.82,1189.48,100.01,1089.47,44,0,108
804,2026-02-17T03:25:00,BTC,27.26,59.53,0.276452,68577.0,68578.0,1.296296,1.73,23.97,-22.24,273,25.7,1.03,8.96,-7.93,90,15,108
805,2026-02-17T03:26:00,HYPE,3608.91,3762.5,0.437511,30.844,30.845,0.002826,1403.68,313.72,1089.96,75,1717.4,1355.51,111.72,1243.79,42,0,109
806,2026-02-17T03:26:00,BTC,71.34,32.86,0.412079,68608.0,68611.0,1.165138,6.34,3.39,2.95,137,9.74,0.95,0.0,0.95,24,4,109
807,2026-02-17T03:27:00,HYPE,3040.78,4063.68,0.454439,30.864,30.865,0.00181,1758.29,55.09,1703.2,82,1813.38,1537.72,308.32,1229.4,40,0,105
808,2026-02-17T03:27:00,BTC,40.85,32.15,0.445963,68600.0,68601.0,1.0,1.1,1.56,-0.46,51,2.66,0.72,0.0,0.71,10,1,105
809,2026-02-17T03:28:00,HYPE,3387.52,2929.18,0.43559,30.887,30.888,0.001804,1925.72,428.52,1497.2,123,2354.24,1735.02,752.73,982.29,73,0,107
810,2026-02-17T03:28:00,BTC,34.3,41.0,0.365288,68621.0,68622.0,1.009346,3.24,2.06,1.18,109,5.3,0.56,1.15,-0.58,21,4,107
811,2026-02-17T03:29:00,HYPE,2209.4,5170.77,0.467126,30.872,30.877,0.002339,4553.36,219.82,4333.54,133,4773.18,4385.9,846.9,3539.0,98,0,109
812,2026-02-17T03:29:00,BTC,25.99,64.47,0.291471,68598.0,68599.0,1.055046,0.87,0.13,0.75,74,1.0,0.56,0.0,0.56,9,0,109
813,2026-02-17T03:30:00,HYPE,3270.24,3281.22,0.410363,30.871,30.872,0.002176,1792.79,86.57,1706.22,76,1879.36,1719.51,667.77,1051.74,52,0,108
814,2026-02-17T03:30:00,BTC,22.19,75.69,0.459953,68616.0,68617.0,1.018519,0.67,1.09,-0.42,64,1.76,0.56,0.0,0.56,14,0,108
815,2026-02-17T03:31:00,HYPE,3092.85,5655.39,0.409784,30.84,30.846,0.002436,1978.7,901.42,1077.28,131,2880.12,1736.52,590.16,1146.36,51,0,110
816,2026-02-17T03:31:00,BTC,23.62,89.66,0.356087,68586.0,68587.0,1.045455,0.65,5.01,-4.36,99,5.67,0.56,0.01,0.56,10,2,110
817,2026-02-17T03:32:00,HYPE,4000.26,5410.79,0.44129,30.787,30.788,0.002,2435.52,4160.69,-1725.17,166,6596.21,2505.11,2500.0,5.11,74,0,109
818,2026-02-17T03:32:00,BTC,21.44,88.38,0.29355,68550.0,68551.0,1.036697,1.05,9.46,-8.42,176,10.51,0.64,0.01,0.64,14,6,109
819,2026-02-17T03:33:00,HYPE,3229.96,3440.54,0.47017,30.837,30.842,0.003073,1571.35,118.03,1453.32,85,1689.38,1537.6,368.13,1169.47,56,0,110
820,2026-02-17T03:33:00,BTC,47.17,21.95,0.407451,68559.0,68560.0,1.090909,2.34,4.64,-2.3,116,6.98,0.56,0.01,0.56,12,3,110
821,2026-02-17T03:34:00,HYPE,4476.12,2914.05,0.464086,30.836,30.837,0.002321,1214.13,302.05,912.08,69,1516.18,1191.07,353.62,837.45,34,0,109
822,2026-02-17T03:34:00,BTC,60.45,18.96,0.375301,68583.0,68592.0,1.155963,11.82,1.66,10.16,131,13.48,0.56,0.01,0.56,13,4,109
823,2026-02-17T03:35:00,HYPE,7006.83,3626.18,0.451249,30.839,30.845,0.00262,1407.99,209.65,1198.34,73,1617.64,1355.87,285.16,1070.71,40,0,108
824,2026-02-17T03:35:00,BTC,173.71,165.47,0.382007,68602.0,68603.0,1.074074,130.36,1.14,129.22,159,131.51,0.56,0.01,0.56,17,50,108
825,2026-02-17T03:36:00,HYPE,1758.42,4034.88,0.411216,30.807,30.812,0.002093,1459.42,362.29,1097.13,90,1821.71,1218.4,483.08,735.32,46,0,108
826,2026-02-17T03:36:00,BTC,27.86,50.51,0.302944,68541.0,68542.0,1.361111,1.82,9.96,-8.13,188,11.78,0.63,0.01,0.63,19,6,108
827,2026-02-17T03:37:00,HYPE,2084.84,4055.01,0.428157,30.811,30.813,0.00238,1953.35,141.48,1811.87,174,2094.83,1412.78,640.61,772.17,108,0,108
828,2026-02-17T03:37:00,BTC,109.06,35.14,0.30333,68492.0,68493.0,1.138889,0.9,17.49,-16.59,264,18.39,0.56,0.01,0.56,12,11,108
829,2026-02-17T03:38:00,HYPE,2242.43,3616.98,0.412494,30.796,30.8,0.002473,2343.59,737.34,1606.25,205,3080.93,1735.06,365.61,1369.45,107,0,110
830,2026-02-17T03:38:00,BTC,30.84,69.13,0.405243,68485.0,68486.0,1.081818,1.24,7.19,-5.94,196,8.43,0.56,0.01,0.56,14,5,110
831,2026-02-17T03:39:00,HYPE,3057.31,4256.62,0.427963,30.831,30.832,0.001849,1421.58,190.96,1230.62,126,1612.54,1402.2,28.43,1373.77,87,0,106
832,2026-02-17T03:39:00,BTC,16.39,83.65,0.493591,68531.0,68532.0,1.066038,7.46,0.39,7.07,178,7.85,0.56,1.4,-0.84,30,2,106
833,2026-02-17T03:40:00,HYPE,3748.41,4191.28,0.418199,30.825,30.826,0.002422,2119.57,364.93,1754.64,106,2484.5,1870.93,126.96,1743.97,81,0,109
834,2026-02-17T03:40:00,BTC,21.17,79.57,0.262613,68503.0,68504.0,1.018349,2.74,5.87,-3.12,112,8.61,0.56,0.01,0.56,14,3,109
