id,snapshot_time,coin,mark_px,oracle_px,prev_day_px,funding_8h,open_interest,open_interest_usd,day_ntl_vlm,premium
10649392,2026-02-13T10:12:02.544898,HYPE,30.512,30.523,30.468,6.1306e-06,23721354.9,723785980.7088,266439155.91091,-0.0001212201
10649583,2026-02-13T10:13:02.503424,HYPE,30.492,30.508,30.468,5.8868e-06,23718770.88,723232761.672961,266550839.77341,-0.0007539006
10649774,2026-02-13T10:14:01.881074,HYPE,30.43,30.446,30.468,3.7211e-06,23716251.84,721685543.491201,266670774.31716,-0.0008835315
10649965,2026-02-13T10:15:01.444083,HYPE,30.353,30.375,30.468,5.003e-07,23700213.34,719372575.50902,267453211.33485,-0.0020872428
10650156,2026-02-13T10:16:01.405077,HYPE,30.247,30.264,30.468,9.759e-07,23684562.64,716386966.17208,268577657.50706,-0.0006344171
10650347,2026-02-13T10:17:01.703629,HYPE,30.24,30.26,30.468,9.01e-07,23680785.6,716106956.544,268723942.55379,-0.0006411104
10650538,2026-02-13T10:18:02.053810,HYPE,30.268,30.288,30.468,6.99e-08,23686647.0,716947431.396001,269179064.48282,-0.000610803
10650729,2026-02-13T10:19:01.370565,HYPE,30.214,30.23,30.468,-2.496e-07,23689843.3,715764925.466201,269832629.47891,-0.0001653986
10650920,2026-02-13T10:20:01.302573,HYPE,30.199,30.215,30.605,-9.94e-08,23675605.24,714979602.64276,268113354.81347,-0.0002449115
10651111,2026-02-13T10:21:01.471976,HYPE,30.25,30.268,30.605,5.125e-07,23673935.64,716136553.11,268256583.70134,0.0
10651302,2026-02-13T10:22:01.945372,HYPE,30.313,30.328,30.605,2.0539e-06,23674795.86,717654086.90418,268551215.17183,-0.0002637826
10651493,2026-02-13T10:23:02.513091,HYPE,30.276,30.288,30.605,2.5479e-06,23672366.4,716704565.1264,268694875.84895,-0.0004820391
10651684,2026-02-13T10:24:01.522548,HYPE,30.337,30.351,30.605,3.8777e-06,23671532.72,718123288.12664,268816425.58336,-0.0002339297
10651875,2026-02-13T10:25:01.408243,HYPE,30.346,30.36,30.605,4.6198e-06,23670222.36,718296567.73656,268943598.27434,-0.000411726
10652066,2026-02-13T10:26:01.335640,HYPE,30.314,30.325,30.605,4.4171e-06,23668949.8,717500544.2372,269059610.80401,-0.0003825227
10652257,2026-02-13T10:27:01.309511,HYPE,30.307,30.322,30.605,4.9358e-06,23668638.06,717325413.68442,269258988.0509,-0.0002638348
10652448,2026-02-13T10:28:02.368580,HYPE,30.324,30.337,30.605,6.0868e-06,23668753.88,717731292.65712,269349081.10517,-0.0002472229
10652639,2026-02-13T10:29:02.143017,HYPE,30.305,30.316,30.605,6.1431e-06,23667989.34,717258416.9487,269437823.340859,-0.0002177068
10652830,2026-02-13T10:30:01.461503,HYPE,30.305,30.32,30.605,6.0252e-06,23667111.8,717231823.099,269523381.35306,-0.0003298153
10653021,2026-02-13T10:31:01.409878,HYPE,30.253,30.269,30.605,5.3913e-06,23664850.34,715932717.33602,269630224.29385,-0.0005946678
10653212,2026-02-13T10:32:01.389956,HYPE,30.236,30.254,30.605,5.0131e-06,23663810.88,715498985.76768,269720899.65035,-0.0001652674
10653403,2026-02-13T10:33:01.381015,HYPE,30.31,30.33,30.605,4.7323e-06,23661573.2,717182283.692,269830155.649851,-0.0007912957
10653594,2026-02-13T10:34:01.468204,HYPE,30.362,30.377,30.605,5.5341e-06,23659064.86,718336527.27932,269939267.975211,-0.000273233
10653785,2026-02-13T10:35:02.063755,HYPE,30.357,30.372,30.491,5.5361e-06,23662055.3,718309012.7421,265054823.22301,0.0008889767
10653976,2026-02-13T10:36:01.372017,HYPE,30.348,30.358,30.491,5.6173e-06,23659891.22,718030378.74456,265188098.26513,0.0
10654167,2026-02-13T10:37:01.293593,HYPE,30.357,30.371,30.491,6.0244e-06,23658682.66,718206629.50962,265257292.21593,-0.0001745086
10654358,2026-02-13T10:38:01.587573,HYPE,30.35,30.364,30.491,5.9672e-06,23657690.54,718010907.889,265326680.46024,-0.0004248452
10654549,2026-02-13T10:39:01.347626,HYPE,30.343,30.358,30.491,5.8796e-06,23656361.5,717804976.9945,265406851.53969,-0.0004611634
10654740,2026-02-13T10:40:01.300935,HYPE,30.33,30.345,30.491,5.7928e-06,23662917.68,717696293.2344,265658200.65743,-0.0004679519
10654931,2026-02-13T10:41:03.595213,HYPE,30.28,30.29,30.491,5.0114e-06,23660549.2,716441429.776,265757620.73743,-0.0002344008
10655122,2026-02-13T10:42:01.343712,HYPE,30.275,30.293,30.491,4.6334e-06,23658391.74,716257809.9285,265847094.869,-0.0006272076
10655313,2026-02-13T10:43:01.312646,HYPE,30.265,30.28,30.491,4.5012e-06,23657584.64,715996799.1296,265933482.12833,-0.000175033
10655504,2026-02-13T10:44:01.641760,HYPE,30.254,30.27,30.491,4.2309e-06,23656717.02,715710316.72308,266018359.89986,-0.0004955401
10655695,2026-02-13T10:45:01.646038,HYPE,30.243,30.261,30.491,3.8815e-06,23655682.6,715418808.8718,266096236.30447,-0.0010574667
10655886,2026-02-13T10:46:05.254000,HYPE,30.265,30.283,30.491,3.9038e-06,23652969.44,715857120.1016,266243349.90439,-0.0001320873
10656077,2026-02-13T10:47:01.884191,HYPE,30.294,30.312,30.491,3.6894e-06,23651141.86,716487691.506841,266347136.42478,-0.0007290842
10656268,2026-02-13T10:48:01.357331,HYPE,30.296,30.314,30.491,3.579e-06,23650376.42,716511804.020321,266459069.42394,-0.0004519364
10656459,2026-02-13T10:49:01.374649,HYPE,30.305,30.326,30.491,3.2097e-06,23649563.32,716700016.412601,266566112.29904,-0.0007254501
10656650,2026-02-13T10:50:01.478550,HYPE,30.328,30.344,30.742,2.8233e-06,23648227.8,717203452.7184,264573069.01022,0.0
10656841,2026-02-13T10:51:01.582576,HYPE,30.337,30.359,30.742,2.1501e-06,23647213.54,717385517.16298,264665850.48445,-0.0008564182
10657032,2026-02-13T10:52:01.952160,HYPE,30.37,30.395,30.742,1.7801e-06,23645104.9,718101835.813,264766650.57724,-0.000888304
10657223,2026-02-13T10:53:01.457095,HYPE,30.354,30.375,30.742,1.4199e-06,23642324.34,717639113.01636,264881556.09958,-0.000691358
10657414,2026-02-13T10:54:01.351150,HYPE,30.357,30.378,30.742,1.1182e-06,23640071.94,717641663.88258,264973352.77815,-0.0005596155
