2025-11-22 16:16:39 | INFO | trader_metrics_manager | ✅ HYPE: Included - $513811.09 (price: $32.525000)
2025-11-22 16:16:46 | DEBUG | __main__ | Loop cycle #22
2025-11-22 16:16:56 | DEBUG | __main__ | Loop cycle #23
2025-11-22 16:17:06 | DEBUG | __main__ | Loop cycle #24
2025-11-22 16:17:06 | DEBUG | __main__ | Fetching individual symbol data...
2025-11-22 16:17:12 | INFO | trader_metrics_manager | ✅ HYPE: Included - $121017.18 (price: $32.531500)
2025-11-22 16:17:12 | INFO | trader_metrics_manager | ✅ UBTC: Included - $1011.81 (price: $84384.500000)
2025-11-22 16:17:16 | DEBUG | __main__ | Loop cycle #25
2025-11-22 16:17:26 | DEBUG | __main__ | Loop cycle #26
2025-11-22 16:17:36 | DEBUG | __main__ | Loop cycle #27
2025-11-22 16:17:39 | INFO | trader_metrics_manager | ✅ HYPE: Included - $87110.33 (price: $32.564500)
2025-11-22 16:17:46 | DEBUG | __main__ | Loop cycle #28
2025-11-22 16:17:49 | INFO | trader_metrics_manager | ✅ HYPE: Included - $9661.96 (price: $32.567500)
2025-11-22 16:17:56 | DEBUG | __main__ | Loop cycle #29
2025-11-22 16:18:06 | DEBUG | __main__ | Loop cycle #30
2025-11-22 16:18:06 | DEBUG | __main__ | Fetching individual symbol data...
2025-11-22 16:18:12 | INFO | trader_metrics_manager | ✅ HYPE: Included - $131168.21 (price: $32.589500)
2025-11-22 16:18:16 | DEBUG | __main__ | Loop cycle #31
2025-11-22 16:18:26 | DEBUG | __main__ | Loop cycle #32
2025-11-22 16:18:36 | DEBUG | __main__ | Loop cycle #33
2025-11-22 16:18:39 | INFO | trader_metrics_manager | ✅ PURR: Included - $2029.33 (price: $0.072324)
2025-11-22 16:18:39 | INFO | trader_metrics_manager | ✅ HYPE: Included - $17632.05 (price: $32.621500)
2025-11-22 16:18:46 | DEBUG | __main__ | Loop cycle #34
2025-11-22 16:18:56 | DEBUG | __main__ | Loop cycle #35
2025-11-22 16:18:59 | INFO | trader_metrics_manager | ✅ HYPE: Included - $21725.46 (price: $32.569500)
2025-11-22 16:18:59 | INFO | trader_metrics_manager | ✅ UBTC: Included - $10281.06 (price: $84378.500000)
2025-11-22 16:18:59 | INFO | trader_metrics_manager | ✅ UETH: Included - $2271.65 (price: $2743.350000)
2025-11-22 16:18:59 | INFO | trader_metrics_manager | ✅ USOL: Included - $2654.70 (price: $127.065000)
2025-11-22 16:19:06 | DEBUG | __main__ | Loop cycle #36
2025-11-22 16:19:06 | DEBUG | __main__ | Fetching individual symbol data...
2025-11-22 16:19:09 | DEBUG | __main__ | Fetching ALL coins data via wildcard...
2025-11-22 16:19:09 | DEBUG | __main__ | Received data for 20 coins
2025-11-22 16:19:13 | INFO | trader_metrics_manager | ✅ HYPE: Included - $68.52 (price: $32.538500)
2025-11-22 16:19:13 | INFO | trader_metrics_manager | ✅ UBTC: Included - $89.24 (price: $84347.500000)
2025-11-22 16:19:13 | INFO | trader_metrics_manager | ✅ UXPL: Included - $62.26 (price: $0.200530)
2025-11-22 16:19:16 | DEBUG | __main__ | Loop cycle #37
2025-11-22 16:19:26 | DEBUG | __main__ | Loop cycle #38
2025-11-22 16:19:29 | INFO | trader_metrics_manager | ✅ PURR: Included - $17.64 (price: $0.072324)
2025-11-22 16:19:29 | INFO | trader_metrics_manager | ✅ HYPE: Included - $37169.06 (price: $32.542500)
2025-11-22 16:19:29 | INFO | trader_metrics_manager | ✅ UBTC: Included - $19158.19 (price: $84350.500000)
2025-11-22 16:19:36 | DEBUG | __main__ | Loop cycle #39
2025-11-22 16:19:46 | DEBUG | __main__ | Loop cycle #40
2025-11-22 16:19:56 | DEBUG | __main__ | Loop cycle #41
2025-11-22 16:20:06 | DEBUG | __main__ | Loop cycle #42
2025-11-22 16:20:06 | DEBUG | __main__ | Fetching individual symbol data...
2025-11-22 16:20:16 | DEBUG | __main__ | Loop cycle #43
2025-11-22 16:20:26 | DEBUG | __main__ | Loop cycle #44
2025-11-22 16:20:36 | DEBUG | __main__ | Loop cycle #45
2025-11-22 16:20:46 | DEBUG | __main__ | Loop cycle #46
2025-11-22 16:20:49 | INFO | trader_metrics_manager | ✅ UBTC: Included - $464905.25 (price: $84315.500000)
2025-11-22 16:20:56 | DEBUG | __main__ | Loop cycle #47
2025-11-22 16:20:59 | INFO | trader_metrics_manager | ✅ HYPE: Included - $25321.91 (price: $32.549500)
2025-11-22 16:21:06 | DEBUG | __main__ | Loop cycle #48
2025-11-22 16:21:06 | DEBUG | __main__ | Fetching individual symbol data...
2025-11-22 16:21:16 | DEBUG | __main__ | Loop cycle #49
2025-11-22 16:21:26 | DEBUG | __main__ | Loop cycle #50
2025-11-22 16:21:29 | INFO | trader_metrics_manager | ✅ HYPE: Included - $231.28 (price: $32.559500)
2025-11-22 16:21:29 | INFO | trader_metrics_manager | ✅ UBTC: Included - $269.87 (price: $84390.500000)
2025-11-22 16:21:36 | DEBUG | __main__ | Loop cycle #51
2025-11-22 16:21:46 | DEBUG | __main__ | Loop cycle #52
2025-11-22 16:21:56 | DEBUG | __main__ | Loop cycle #53
2025-11-22 16:21:59 | INFO | trader_metrics_manager | ✅ HYPE: Included - $4096.71 (price: $32.516500)
2025-11-22 16:21:59 | INFO | trader_metrics_manager | ✅ USOL: Included - $22.24 (price: $126.975000)
2025-11-22 16:22:06 | DEBUG | __main__ | Loop cycle #54
2025-11-22 16:22:06 | DEBUG | __main__ | Fetching individual symbol data...
2025-11-22 16:22:09 | DEBUG | __main__ | Fetching ALL coins data via wildcard...
2025-11-22 16:22:09 | DEBUG | __main__ | Received data for 21 coins
2025-11-22 16:22:09 | INFO | trader_metrics_manager | Registered 1 new addresses
2025-11-22 16:22:12 | INFO | trader_metrics_manager | ✅ PURR: Included - $5.90 (price: $0.072326)
2025-11-22 16:22:12 | INFO | trader_metrics_manager | ✅ USOL: Included - $10.37 (price: $127.035000)
2025-11-22 16:22:16 | DEBUG | __main__ | Loop cycle #55
2025-11-22 16:22:19 | INFO | trader_metrics_manager | ✅ HYPE: Included - $1299.83 (price: $32.494500)
2025-11-22 16:22:26 | DEBUG | __main__ | Loop cycle #56
2025-11-22 16:22:36 | DEBUG | __main__ | Loop cycle #57
2025-11-22 16:22:39 | INFO | trader_metrics_manager | ✅ UBTC: Included - $11523.90 (price: $84323.500000)
2025-11-22 16:22:46 | DEBUG | __main__ | Loop cycle #58
2025-11-22 16:22:49 | INFO | trader_metrics_manager | ✅ HYPE: Included - $2319.87 (price: $32.502500)
2025-11-22 16:22:56 | DEBUG | __main__ | Loop cycle #59
2025-11-22 16:22:59 | INFO | trader_metrics_manager | ✅ HYPE: Included - $6.49 (price: $32.517500)
2025-11-22 16:23:06 | DEBUG | __main__ | Loop cycle #60
2025-11-22 16:23:06 | DEBUG | __main__ | Fetching individual symbol data...
2025-11-22 16:23:12 | INFO | trader_metrics_manager | ✅ PURR: Included - $6013.65 (price: $0.072326)
2025-11-22 16:23:12 | INFO | trader_metrics_manager | ✅ HYPE: Included - $95426.61 (price: $32.554500)
2025-11-22 16:23:16 | DEBUG | __main__ | Loop cycle #61
2025-11-22 16:23:26 | DEBUG | __main__ | Loop cycle #62
2025-11-22 16:23:36 | DEBUG | __main__ | Loop cycle #63
2025-11-22 16:23:46 | DEBUG | __main__ | Loop cycle #64
2025-11-22 16:23:56 | DEBUG | __main__ | Loop cycle #65
2025-11-22 16:24:06 | DEBUG | __main__ | Loop cycle #66
2025-11-22 16:24:06 | DEBUG | __main__ | Fetching individual symbol data...
2025-11-22 16:24:16 | DEBUG | __main__ | Loop cycle #67
2025-11-22 16:24:26 | DEBUG | __main__ | Loop cycle #68
2025-11-22 16:24:29 | INFO | trader_metrics_manager | ✅ HYPE: Included - $15.10 (price: $32.577500)
2025-11-22 16:24:36 | DEBUG | __main__ | Loop cycle #69
2025-11-22 16:24:46 | DEBUG | __main__ | Loop cycle #70
2025-11-22 16:24:56 | DEBUG | __main__ | Loop cycle #71
2025-11-22 16:25:06 | DEBUG | __main__ | Loop cycle #72
2025-11-22 16:25:06 | DEBUG | __main__ | Fetching individual symbol data...
2025-11-22 16:25:09 | DEBUG | __main__ | Fetching ALL coins data via wildcard...
2025-11-22 16:25:09 | DEBUG | __main__ | Received data for 21 coins
2025-11-22 16:25:13 | INFO | trader_metrics_manager | ✅ HYPE: Included - $26.00 (price: $32.614500)
2025-11-22 16:25:13 | INFO | trader_metrics_manager | ✅ UBTC: Included - $4361.68 (price: $84376.500000)
2025-11-22 16:25:13 | INFO | trader_metrics_manager | ✅ RAT: Included - $49.35 (price: $1.615000)
2025-11-22 16:25:13 | INFO | trader_metrics_manager | ✅ USOL: Included - $94.25 (price: $127.235000)
2025-11-22 16:25:16 | DEBUG | __main__ | Loop cycle #73
2025-11-22 16:25:26 | DEBUG | __main__ | Loop cycle #74
2025-11-22 16:25:36 | DEBUG | __main__ | Loop cycle #75
2025-11-22 16:25:39 | INFO | trader_metrics_manager | ✅ UBTC: Included - $3030704.07 (price: $84415.000000)
2025-11-22 16:25:46 | DEBUG | __main__ | Loop cycle #76
2025-11-22 16:25:49 | INFO | trader_metrics_manager | ✅ PURR: Included - $6555.35 (price: $0.072329)
2025-11-22 16:25:56 | DEBUG | __main__ | Loop cycle #77
2025-11-22 16:25:59 | INFO | trader_metrics_manager | ✅ HYPE: Included - $16330.92 (price: $32.661500)
2025-11-22 16:26:06 | DEBUG | __main__ | Loop cycle #78
2025-11-22 16:26:06 | DEBUG | __main__ | Fetching individual symbol data...
2025-11-22 16:26:16 | DEBUG | __main__ | Loop cycle #79
2025-11-22 16:26:26 | DEBUG | __main__ | Loop cycle #80
2025-11-22 16:26:29 | INFO | trader_metrics_manager | ✅ HYPE: Included - $229544.09 (price: $32.655000)
2025-11-22 16:26:36 | DEBUG | __main__ | Loop cycle #81
2025-11-22 16:26:46 | DEBUG | __main__ | Loop cycle #82
2025-11-22 16:26:49 | INFO | trader_metrics_manager | ✅ UBTC: Included - $6253.58 (price: $84438.500000)
2025-11-22 16:26:56 | DEBUG | __main__ | Loop cycle #83
2025-11-22 16:26:59 | INFO | trader_metrics_manager | ✅ HYPE: Included - $88.43 (price: $32.577500)
2025-11-22 16:27:06 | DEBUG | __main__ | Loop cycle #84
