class,hash,time,token,type,amount,from,to,px
PERP,0x054cab3d351b253406c6042fb1bebf0204560022d01e4406a915568ff41eff1e,1763437883618,ETH-USD,Open Long,0.0165,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0x9fa5be0701f8a03ca11f042fb1bebf02045400ec9cfbbf0e436e6959c0fc7a27,1763437883618,ETH-USD,Open Long,26.931,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0xecd2476be8675dc0ee4c042fb1bebf0204530051836a7c92909af2bea76b37ab,1763437883618,ETH-USD,Open Long,0.0165,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0x872b5a35b544d8c988a5042fb1bebf020451001b5047f79b2af405887448b2b4,1763437883618,ETH-USD,Open Long,0.0165,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0xd457e39a9bb3964dd5d1042fb1bebf020450008036b6b51f78208eed5ab77038,1763437883618,ETH-USD,Open Long,0.0165,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0x21846cff822253d222fe042fb1bebf02044f00e51d2572a4c54d185241262dbc,1763437883618,ETH-USD,Open Long,4.5794,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0x6eb0f66468911156702a042fb1bebf02044e004a039430281279a1b72794eb41,1763437883618,ETH-USD,Open Long,19.8143,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0xde0ba22badd503b7df85042fb1bebd020b4c001148d8228981d44d7e6cd8dda2,1763437883480,ETH-USD,Open Long,0.0661,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0x7864b4f57ab27ec079de042fb1bebd020b4a00db15b59d921c2d604839b658ab,1763437883480,ETH-USD,Open Long,0.0165,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0xc5913e5a61213c44c70a042fb1bebd020b49003ffc245b166959e9ad2025162f,1763437883480,ETH-USD,Open Long,0.0165,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0x12bdc7bf479ff9c91437042fb1bebd020b4800a4e293189bb68673120693d3b3,1763437883480,ETH-USD,Open Long,0.0165,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0x949c76b7c7c9ad5e9616042fb1bebd020b43009d62cccc303865220a86cd8749,1763437883480,ETH-USD,Open Long,0.0896,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0x0e5265031e35ef300fcc042fb1bebd020a4200e8b9390e02b21b1055dd39c91a,1763437883480,ETH-USD,Open Long,0.2372,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0xc3f5ce4f154f703dc56f042fb1bebc0207a00034b0428f0f67be79a1d4434a28,1763437883417,ETH-USD,Open Long,0.5061,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0xab7b6a7dc89ba8caacf5042fb1bebc02079d0063639ec79c4f4415d0879f82b5,1763437883417,ETH-USD,Open Long,111.6837,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
